title,director,cast,genre,plot,release_date,slug,poster_filename,processed_plot,pre_genre,pre_director,pre_cast
Tully(2018 film),Jason Reitman,"Charlize Theron, Mackenzie Davis, Mark Duplass, Ron Livingston","Tully is a 2018 American comedy-drama film directed by Jason Reitman , written by Diablo Cody , and starring Charlize Theron , Mackenzie Davis , Mark Duplass , and Ron Livingston . The film follows the friendship between a mother of three and her night nanny . It is the third collaboration between director Jason Reitman and screenwriter Diablo Cody, following the films Juno (2007) and Young Adult (2011), the latter of which also starred Theron. [ 3 ]","Marlo is pregnant with an unplanned third child with her husband Drew. They have a daughter, Sarah, and a son, Jonah, who has an undiagnosed behavioral disorder. Trying to reduce his sensitivity to external stimuli, Marlo brushes his skin nightly. Craig, Marlo's wealthy brother, offers to pay for a night nanny as a baby gift, but she rebuffs him. Marlo has dreams of an underwater mermaid, and also of her son's tantrums. After giving birth to a girl, Mia, Marlo quickly becomes even more overwhelmed and exhausted than before. After the principal of Jonah's school again recommends that he be placed in a different school because they cannot handle him, Marlo erupts at her and leaves angrily. Afterwards she gets out the phone number for the night nanny. That night, Tully, the nanny, arrives at Marlo's house and immediately settles in to take control. Despite initial awkwardness, they develop a close friendship over the course of several nights. Tully proves to be an exceptional nanny and also cleans the house and bakes cupcakes for Jonah's class. Tully explains that she is there mostly not for Mia herself, but to help and support Marlo. Marlo begins re-engaging with her family and self, singing, cooking nice family meals, and having fun with her kids. When Marlo mentions that she and Drew have not had sex for some time, and that Drew has a fantasy about diner waitresses, Tully puts on a waitress uniform that Marlo had previously purchased but never used and, with Marlo coaching, makes love to Drew. One night Tully arrives visibly distressed. She has fought with her ""enmeshed"" roommate, due to her roommate's anger over her bringing home men. Tully impulsively suggests going into the city for drinks, to which Marlo reluctantly agrees; they drive to Marlo's old neighborhood, Bushwick, Brooklyn . At a bar Tully suddenly tells her she can no longer work for her anymore, explaining that she was there only to ""bridge a gap."" Marlo yells at Tully for being immature and not understanding how aging is going to steal Tully's youthful body and demeanor. Marlo impulsively steals a bike and rides to her former girlfriend’s apartment, where Marlo herself used to live, but no one answers the door. Tully suggests she may be taking things too far. When Marlo's breast becomes painfully engorged with milk, Tully takes her into a bar bathroom and helps her express the milk. On their way home, Marlo falls asleep at the wheel, ends up in a river trapped underwater in the car, and Tully as a mermaid comes to rescue her. She is taken to a hospital, where a psychiatrist informs a surprised Drew that Marlo was suffering from extreme sleep deprivation and exhaustion. Drew admits he does not know much about the nanny, and when asked for Marlo's maiden name, he says ""Tully"". In flashbacks, events that Marlo and Tully experienced together now show Marlo alone. Tully comes to Marlo's hospital room to say goodbye, and each thanks the other for keeping her alive before Tully leaves. Drew reenters and apologizes to Marlo for not realizing what she was going through and affirms his love of her and their family, which she reciprocates. At home, Marlo goes to brush Jonah, but he questions whether the procedure is ""real"", and they decide they no longer need to do it. Jonah says his favorite part of the procedure was always just being with his mother, and they embrace. Marlo goes to the kitchen and puts in earbuds to listen to music while she prepares the kids' lunches for tomorrow. Drew comes in, takes one of the earbuds, and helps to chop food up while they listen to the music together.","January 23, 2018 ( 2018-01-23 ) ( Sundance ) May 4, 2018 ( 2018-05-04 ) (United States)",tt5610554,Tully_(2018_film).png,marlo pregnant unplan third child husband drew daughter sarah son jonah undiagnos behavior disord tri reduc sensit extern stimulus marlo brush skin nightli craig marlo wealthi brother offer pay night nanni babi gift rebuff marlo dream underwat mermaid also son tantrum give birth girl mia marlo quickli becom even overwhelm exhaust princip jonah school recommend place differ school handl marlo erupt leav angrili afterward get phone number night nanni night tulli nanni arriv marlo hous immedi settl take control despit initi awkward develop close friendship cours sever night tulli prove except nanni also clean hous bake cupcak jonah class tulli explain mostli mia help support marlo marlo begin reengag famili self sing cook nice famili meal fun kid marlo mention drew sex time drew fantasi diner waitress tulli put waitress uniform marlo previous purchas never use marlo coach make love drew one night tulli arriv visibl distress fought enmesh roommat due roommat anger bring home men tulli impuls suggest go citi drink marlo reluctantli agre drive marlo old neighborhood bushwick brooklyn bar tulli suddenli tell longer work anymor explain bridg gap marlo yell tulli immatur understand age go steal tulli youth bodi demeanor marlo impuls steal bike ride former girlfriend apart marlo use live one answer door tulli suggest may take thing far marlo breast becom pain engorg milk tulli take bar bathroom help express milk way home marlo fall asleep wheel end river trap underwat car tulli mermaid come rescu taken hospit psychiatrist inform surpris drew marlo suffer extrem sleep depriv exhaust drew admit know much nanni ask marlo maiden name say tulli flashback event marlo tulli experienc togeth show marlo alon tulli come marlo hospit room say goodby thank keep aliv tulli leav drew reenter apolog marlo realiz go affirm love famili reciproc home marlo goe brush jonah question whether procedur real decid longer need jonah say favorit part procedur alway mother embrac marlo goe kitchen put earbud listen music prepar kid lunch tomorrow drew come take one earbud help chop food listen music togeth,american comedydrama film directed,jason reitman,"['charlize theron', 'mackenzie davis', 'mark duplass', 'ron livingston']"
Tumi O Tumi,Arunima Dey,"Soumitra Chatterjee, Lily Chakravarty, Biswajit Chakraborty",,"The film revolves around the conflict between different stages of a woman's life in a male dominated society. The story is told from the perspective of a writer who narrates her own story. It states the life of three struggling women Gunjan, Sindur and Ashalata who are from three different generations and portrays the real meaning of women empowerment in an Indian society. [ 4 ]",17 January 2020 ( 2020-01-17 ),tt11432356,Tumi_O_Tumi.jpg,film revolv around conflict differ stage woman life male domin societi stori told perspect writer narrat stori state life three struggl woman gunjan sindur ashalata three differ gener portray real mean woman empower indian societi 4,,arunima dey,"['soumitra chatterjee', 'lily chakravarty', 'biswajit chakraborty']"
Tumi Jodi Kuwa,Simple Gogoi,"Prasenjit Borah, Jupitora Bhuyan, Munmi Kalita, Rupam Sharma, Prince",,"The movie is centered around the young generation. The story is about a group of friends who have a music band and how they try to make it big in the field, in turn facing the hurdles and overcoming them.",14 June 2013 ( 2013-06-14 ),tt13840132,,movi center around young gener stori group friend music band tri make big field turn face hurdl overcom,,simple gogoi,"['prasenjit borah', 'jupitora bhuyan', 'munmi kalita', 'rupam sharma', 'prince']"
Tumbling Tumbleweeds(film),Joseph Kane,"Gene Autry, Smiley Burnette, Lucile Browne",,"Gene Autry ( Gene Autry ) returns to his home after a five-year absence as a singing cowboy with a group of strolling players that includes Smiley ( Smiley Burnette ) and Eightball (Eugene Jackson), who sell Dr. Parker's Painless Panacea. Gene's father, a cattle baron and one of the original ""nesters"" in the West, was recently murdered during a conflict with his landlord. While at an abandoned nester's cabin, the group is held up by Harry Brooks (Cornelius Keefe), whom Gene recognizes as his old friend. Wounded and semi-delirious, Harry induces Gene to hide him from the posse headed by Sheriff Manley (George Burton). The deputy later returns and tries to shoot Harry, but Gene chases him away. In town, the deputy reports to Barney Craven (Edward Hearn), leader of a gang which is trying to silence Harry. Meanwhile, Gene and his friends set up a performance in town, but it is interrupted by Craven's men, who report that Harry is wanted for the murder of Gene's father. Hastening to Harry's home, Gene confronts his former sweetheart Janet, now Harry's wife, and meets Janet's younger sister Jerry ( Lucile Browne ), whom he had only known as a girl. They assure Gene of Harry's innocence and reveal that Harry and Gene's father were about to sign a settlement over disputed water rights. Now suspicious of Craven, Gene captures Craven, the deputy, and their cohorts by a series of clever ruses that land them in jail, and thereby vindicates Harry. Gene and Jerry marry and join Smiley and Eightball on the departing Parker wagon. [ 2 ]","September 5, 1935 ( 1935-09-05 ) (U.S.)",tt0027139,Tumbling_Tumbleweeds_Poster.jpg,gene autri gene autri return home fiveyear absenc sing cowboy group stroll player includ smiley smiley burnett eightbal eugen jackson sell dr parker painless panacea gene father cattl baron one origin nester west recent murder conflict landlord abandon nester cabin group held harri brook corneliu keef gene recogn old friend wound semideliri harri induc gene hide poss head sheriff manley georg burton deputi later return tri shoot harri gene chase away town deputi report barney craven edward hearn leader gang tri silenc harri meanwhil gene friend set perform town interrupt craven men report harri want murder gene father hasten harri home gene confront former sweetheart janet harri wife meet janet younger sister jerri lucil brown known girl assur gene harri innoc reveal harri gene father sign settlement disput water right suspici craven gene captur craven deputi cohort seri clever ruse land jail therebi vindic harri gene jerri marri join smiley eightbal depart parker wagon 2,,joseph kane,"['gene autry', 'smiley burnette', 'lucile browne']"
Tumko Na Bhool Paayenge,Pankaj Parashar,"Salman Khan, Sushmita Sen, Dia Mirza",,"Veer Thakur is an eligible bachelor living in a small community with his parents: Thakur Punya Pratap Singh and Thakurain Geeta. He is in love with Muskaan, his friend and daughter of another Thakur. Their parents give their blessing to their union, but Veer suddenly starts getting visions of events that he can't remember ever happening to him and finds that he is an expert in fighting techniques even though he is not a wrestler, including his father, has ever seen before. Nobody has any explanation for these facts. Veer is a good fast bowler too and has the ability to swing the ball in both directions. One day, as the Chief Minister , is giving a speech at a certain function in his village, Veer suddenly spots a sniper trying to aim at the CM. Veer lunges to save the CM, only to find that the sniper and the building are both missing. Veer grows restless, but nobody notices that the CM has grown restless on seeing Veer. Some days later, at Veer's wedding, some goons attack the party and try to kill Veer, but Veer kills them singlehandedly. Convinced that everyone is hiding something important from him, he demands answers. The Thakur relents and tells him that he is neither Veer nor their son. The real Veer was an officer in the Indian Army who was killed in action in Kargil War . After immersing in his ashes, he found the bullet-ridden body of an unknown man. When he realized that this man had no memories of his past, he told him that he is Veer and concoct a past for him, because they feel the need to have a son. Veer decides to go on a quest to find his real identity. He goes to Mumbai to find that both the police and goons are baying for his blood. He meets a teenager named Ahsan, aka Munna, who calls him Ali Bhaijaan (brother), but Munna dies while trying to save Ali from an assassin. The hero does not see the face of the assassin but assumes that his name is Ali. He gets visions of a girl whom he has never seen. The mystery starts unwinding when he meets a guy named Inder. As Ali starts getting his memories, it is confirmed that his name is indeed Ali. Ali and Munna were orphaned brothers, while Inder was Ali's friend. An old man named Rahim Chacha was their guardian. The mysterious girl Ali saw was Mehak, his love. Ali and Inder had won medals for shooting during many contests, although Ali was always better. The marksmanship skills are noticed by the Joint Commissioner of Mumbai Crime Branch , M.K. Sharma, who proposes them: masquerade as goons of a gang, kill goons of their rival gang and trick both gangs to destroy each other in gang wars. Ali refuses flatly, but after some goons kill Rahim Chacha, Ali and Inder decide to take the offer. Mehak gives both the guys portable video recorders so that they can prove their innocence if anything goes wrong. Soon, the Inspector takes them to the Chief Minister and his aide. They plan to enact an attack on the CM, making the opposition look dirty in the eyes of the people and garnering sympathy votes for the CM. However, when Ali is trying to fake the shooting, somebody kills the CM. The police start chasing Ali, thinking that he is the killer and Ali flees. After recovering his memory, Ali realizes that the CM's aide took advantage of the plan to become CM himself. Meanwhile, Ali learns that Inder made Mehak his wife to save her from harassment. Ali tries to tell the truth to the Inspector but realizes that nobody believes him. In an attack, when Ali goes aboard a local train, the remaining memories come to him. He remembers boarding the train the same way on the day of the assassination, where Inder met him and confessed to killing the CM. Thereafter, Inder shot Ali to hide the truth and threw his body in a river. Suddenly, the Inspector confronts him, and Ali convinces the Inspector by telling the truth. Ali goes to Mehak and tells her everything. He realizes that there must be some incriminating evidence in Inder's tapes. As he plays a tape, Mehak witnesses in horror Inder striking the deal with the CM's aide. Ali notifies Inder that he remembers everything now. Inder, along with his cronies, come to kill Ali, and Mehak dies in the process. This angers Ali, and he kills the goons. Inder and Ali have a hand-to-hand fight. Ali demands Inder an explanation for his actions. Inder reveals that he was always second best with Ali around and that even Mehak, whom he secretly loved, chose Ali over him. Also, Ali always got money and fame more easily than Inder. Inder reveals that he had sent the goons to kill Rahim Chacha, thus manipulating Ali to take the offer. Also, when Ali came back to Bombay, Inder saw him. Inder was the sniper whom Ali's brother, Munna, saw. Ali kills Inder in combat and afterward broadcasts Inder's tape over the cable TV network, thus freeing himself from his charges and putting the present CM in the dock. He returns to the village and marries Muskaan, just as planned.",22 February 2002 ( 2002-02-22 ),tt0310254,Tumko_Na_Bhool_Paayenge.jpg,veer thakur elig bachelor live small commun parent thakur punya pratap singh thakurain geeta love muskaan friend daughter anoth thakur parent give bless union veer suddenli start get vision event cant rememb ever happen find expert fight techniqu even though wrestler includ father ever seen nobodi explan fact veer good fast bowler abil swing ball direct one day chief minist give speech certain function villag veer suddenli spot sniper tri aim cm veer lung save cm find sniper build miss veer grow restless nobodi notic cm grown restless see veer day later veer wed goon attack parti tri kill veer veer kill singlehandedli convinc everyon hide someth import demand answer thakur relent tell neither veer son real veer offic indian armi kill action kargil war immers ash found bulletridden bodi unknown man realiz man memori past told veer concoct past feel need son veer decid go quest find real ident goe mumbai find polic goon bay blood meet teenag name ahsan aka munna call ali bhaijaan brother munna die tri save ali assassin hero see face assassin assum name ali get vision girl never seen mysteri start unwind meet guy name inder ali start get memori confirm name inde ali ali munna orphan brother inder ali friend old man name rahim chacha guardian mysteri girl ali saw mehak love ali inder medal shoot mani contest although ali alway better marksmanship skill notic joint commission mumbai crime branch mk sharma propos masquerad goon gang kill goon rival gang trick gang destroy gang war ali refus flatli goon kill rahim chacha ali inder decid take offer mehak give guy portabl video record prove innoc anyth goe wrong soon inspector take chief minist aid plan enact attack cm make opposit look dirti eye peopl garner sympathi vote cm howev ali tri fake shoot somebodi kill cm polic start chase ali think killer ali flee recov memori ali realiz cm aid took advantag plan becom cm meanwhil ali learn inder made mehak wife save harass ali tri tell truth inspector realiz nobodi believ attack ali goe aboard local train remain memori come rememb board train way day assassin inder met confess kill cm thereaft inder shot ali hide truth threw bodi river suddenli inspector confront ali convinc inspector tell truth ali goe mehak tell everyth realiz must incrimin evid inder tape play tape mehak wit horror inder strike deal cm aid ali notifi inder rememb everyth inder along croni come kill ali mehak die process anger ali kill goon inder ali handtohand fight ali demand inder explan action inder reveal alway second best ali around even mehak secretli love chose ali also ali alway got money fame easili inder inder reveal sent goon kill rahim chacha thu manipul ali take offer also ali came back bombay inder saw inder sniper ali brother munna saw ali kill inder combat afterward broadcast inder tape cabl tv network thu free charg put present cm dock return villag marri muskaan plan,,pankaj parashar,"['salman khan', 'sushmita sen', 'dia mirza']"
Tumse Achha Kaun Hai,Pramod Chakravorty,"Shammi Kapoor, Babita, Mehmood, Lalita Pawar, Pran",,"Ashok is unable to forgive himself that because of a childhood prank, his sister Roopa is blind. His only ambition is to have her eyesight restored. He learns about a new operation that can do so but the money required is way beyond his means. A rich lady Sarojini, who hates love marriages because her twin sister had gone astray, and is taking care of her three granddaughters, wants them to have arranged marriages at all costs. She finds it difficult to get them married to young men of her choice because the eldest one (Asha) hates men and the other two are already in love. Sarojini offers Ashok the job of breaking the love affairs of the two younger sisters and making Asha agreeable to marrying a young man of her granny's choice. Ashok accepts the offer to get money for his sister's eye operation. In the process of carrying out this unusual assignment, Ashok himself falls in love with Asha. Granny is furious. She exposes Ashok as a hired hand and turns him out of the house. On reaching home empty-handed Ashok discovers that his blind sister (Roopa) has been raped by an unknown criminal in his absence and has gone missing. Swearing revenge, he sets out in search of the rapist. Pran (the rapist) manages to get engaged to Asha in the meanwhile. In a criminal conspiracy, he abducts the granny and substitutes her evil twin in her place.  Ashok gets injured in an explosion caused by Pran. In the hospital, he is nursed by Roopa, who has now recovered her eyesight, with help from a kind surgeon. But Roopa leaves the hospital when her brother regains consciousness. With the help of Asha's faithful chauffeur Mahesh, Ashok must find a way to foil Pran's conspiracy, rescue granny and save Asha from Pran's clutches.",1969 ( 1969 ),tt0158294,Tumse_Achha_Kaun_Hai.jpg,ashok unabl forgiv childhood prank sister roopa blind ambit eyesight restor learn new oper money requir way beyond mean rich ladi sarojini hate love marriag twin sister gone astray take care three granddaught want arrang marriag cost find difficult get marri young men choic eldest one asha hate men two alreadi love sarojini offer ashok job break love affair two younger sister make asha agreeabl marri young man granni choic ashok accept offer get money sister eye oper process carri unusu assign ashok fall love asha granni furiou expo ashok hire hand turn hous reach home emptyhand ashok discov blind sister roopa rape unknown crimin absenc gone miss swear reveng set search rapist pran rapist manag get engag asha meanwhil crimin conspiraci abduct granni substitut evil twin place ashok get injur explos caus pran hospit nurs roopa recov eyesight help kind surgeon roopa leav hospit brother regain conscious help asha faith chauffeur mahesh ashok must find way foil pran conspiraci rescu granni save asha pran clutch,,pramod chakravorty,"['shammi kapoor', 'babita', 'mehmood', 'lalita pawar', 'pran']"
Tumsa Nahin Dekha(1957 film),Nasir Hussain,"Shammi Kapoor, Ameeta, Pran",,"Twenty years ago, after killing his friend, Sardar Rajpal flees from his hometown in Shillong and re-locates to the rural area of Assam along with his adopted daughter Meena. He asks his wife Kamla, to send their son Shankar, so that he can employ him and get him married to Meena. Shankar arrives and he is welcomed by Sardar, who employs him and introduces him to Meena. A few days later, another young man shows up at his door claiming to be Kamla's son. A baffled Sardar also welcomes him, and puts both the young men under observation in order to find who the real Shankar is. The question remains: why would anyone want to impersonate Shankar, and what will happen to Sardar himself after the Police catch up with him for killing his friend 20 years ago?",1957 ( 1957 ),tt0051117,Tumsa_Nahin_Dekha_1957.jpg,twenti year ago kill friend sardar rajpal flee hometown shillong reloc rural area assam along adopt daughter meena ask wife kamla send son shankar employ get marri meena shankar arriv welcom sardar employ introduc meena day later anoth young man show door claim kamla son baffl sardar also welcom put young men observ order find real shankar question remain would anyon want imperson shankar happen sardar polic catch kill friend 20 year ago,,nasir hussain,"['shammi kapoor', 'ameeta', 'pran']"
Tumse Milke Wrong Number,Jignesh M. Vaishnav,"Tinnu Anand, Parvin Dabas, Richa Pallod, Rinku Ghosh, Tej Sapru",,"Mahi Mathur is a beautiful college student who likes to enjoy life with her friends. She has a group of jovial students like Karan, Arti, and Monti who always make people fools by telephone calls. One day a boy, Raj, entrapped by their wrong number call, came to meet with them. But Raj is more intelligent than they thought. Mahi falls in love with Raj. Karan also loves Mahi but could not express his feelings to Mahi. Mahi's father, Dr. Mathur, is a professor of psychology at the college and has another stepson, Aditya, a police officer. Although Aditya thinks that Dr. Mathur is responsible for his social agony, Mahi likes him as her elder brother. One day while Mathur was taking an online class with his student Arti, someone killed him. Arti saw the killer's face in the webcam. Before disclosing the name, the killer murdered Arti. Aditya investigates the case and suspects Karan since Dr. Mathur rejected his scholarship in spite of having good results. Arti's gambler uncle recovers the webcam record and finds out the killer. He tries to blackmail him and subsequently gets murdered. At the time of the murder, Monti took an accidental snap of the killer and discovered that Raj was the killer. Now Raj tries to finish Monti also. Aditya saves Monti and sends him to the hospital. The killer Raj finally attacks Mahi. He reveals that he was a psychological patient and has a dark past. [ 1 ]",12 December 2003 ( 2003-12-12 ),tt0391536,,mahi mathur beauti colleg student like enjoy life friend group jovial student like karan arti monti alway make peopl fool telephon call one day boy raj entrap wrong number call came meet raj intellig thought mahi fall love raj karan also love mahi could express feel mahi mahi father dr mathur professor psycholog colleg anoth stepson aditya polic offic although aditya think dr mathur respons social agoni mahi like elder brother one day mathur take onlin class student arti someon kill arti saw killer face webcam disclos name killer murder arti aditya investig case suspect karan sinc dr mathur reject scholarship spite good result arti gambler uncl recov webcam record find killer tri blackmail subsequ get murder time murder monti took accident snap killer discov raj killer raj tri finish monti also aditya save monti send hospit killer raj final attack mahi reveal psycholog patient dark past 1,,jignesh m. vaishnav,"['tinnu anand', 'parvin dabas', 'richa pallod', 'rinku ghosh', 'tej sapru']"
Tumsa Nahin Dekha: A Love Story,Anurag Basu,"Emraan Hashmi, Diya Mirza, Anupam Kher",,"The film starts with Daksh Mittal, a charming and continually drunk billionaire. One day, he runs into a girl, Jiya, on the street and falls in love at first sight . Jiya works as a dancer and has a mentally disabled brother. Daksh and Jiya spend some time with each other and fall in love. Daksh, however, is supposed to marry Anahita Madhwan in order to inherit a million-dollar trust. For help, Daksh turns to his butler, John Uncle. John Uncle wants Daksh to end up marrying Jiya. However, John becomes very ill and gets admitted to a hospital. The engagement party for Daksh and Anahita is taking place, and John Uncle manages to convince Jiya to go to the party. Daksh and Jiya dance, and meanwhile, John Uncle is dying at the hospital. Daksh decides to honour John Uncle's memory and goes to propose to Jiya; she accepts, and after a final clash with the family, Daksh is allowed to marry her, and they live happily ever after.","September 24, 2004 ( 2004-09-24 )",tt0430702,Tumsa_Nahin_Dekha_poster.jpg,film start daksh mittal charm continu drunk billionair one day run girl jiya street fall love first sight jiya work dancer mental disabl brother daksh jiya spend time fall love daksh howev suppos marri anahita madhwan order inherit milliondollar trust help daksh turn butler john uncl john uncl want daksh end marri jiya howev john becom ill get admit hospit engag parti daksh anahita take place john uncl manag convinc jiya go parti daksh jiya danc meanwhil john uncl die hospit daksh decid honour john uncl memori goe propos jiya accept final clash famili daksh allow marri live happili ever,,anurag basu,"['emraan hashmi', 'diya mirza', 'anupam kher']"
Tum?: A Dangerous Obsession,Aruna Raje,"Karan Nath, Manisha Koirala, Rajat Kapoor, Natanya Singh, Deepti Daryanani",,"Kamini Gupta and Vinod Gupta with their two children are a happy family. Vinod, a CEO of a  multinational corporation is very busy and has no time for the family. He is unable to make it to his wedding anniversary, leaving Kamini all alone. A young photographer, Jatin Pandey (Karan Nath) gives her company. He takes her pictures, also introduces to AD film Director Ramesh Tekwani for some AD shoots. they dine and dance together. In the morning when she wakes up, she finds herself naked in Jatin's bed. Jatin now craves and burns for Kamini who is the forbidden fruit in his life, leading from passion to a dangerous obsession. Towards the end Jatin is found murdered. Inspector Yusuf Malik (Aman Verma) takes the bizarre case. A murder trail with obsession and passion. [ 4 ]",20 February 2004 ( 2004-02-20 ),tt9869782,Tum-_A_dangerous_Obsession.jpg,kamini gupta vinod gupta two child happi famili vinod ceo multin corpor busi time famili unabl make wed anniversari leav kamini alon young photograph jatin pandey karan nath give compani take pictur also introduc ad film director ramesh tekwani ad shoot dine danc togeth morn wake find nake jatin bed jatin crave burn kamini forbidden fruit life lead passion danger obsess toward end jatin found murder inspector yusuf malik aman verma take bizarr case murder trail obsess passion 4,,aruna raje,"['karan nath', 'manisha koirala', 'rajat kapoor', 'natanya singh', 'deepti daryanani']"
Tumhari Sulu,Suresh Triveni,"Vidya Balan, Neha Dhupia, Manav Kaul, Abhishek Sharma",,"Sulochana Dubey, nicknamed Sulu, is a middle-class housewife living in Virar with her family. She enjoys her life to the fullest with her husband Ashok and 11-year-old son Pranav. Sulu dreams of being a working woman, but since she couldn't complete high school, she is unable to apply for white-collar jobs. Her elder twin sisters mock her, seeing Sulu as beneath them due to her education. Ashok works as a manager in a tailoring firm; a frustrating job since all his colleagues are cantankerous and over the age of sixty. To make matters worse, the firm is taken over by the owner's grandson, who is extremely rude and abusive to his employees. Sulu and Ashok's son, Pranav, is going through a rough time in school. He is incessantly teased by a group of delinquent classmates who sell R-rated magazines and videos. One day, Sulu wins a contest hosted by her favourite radio station and goes to collect her prize. While at the station, she sees a poster advertising auditions for an RJ, and feels that this is the job she is meant for. Sulu meets the boss, Maria, who finds her extroverted nature intriguing and gives her an opportunity to audition. Sulu laughs throughout the audition but at the end, says 'Hello' in a sensual tone, which impresses Maria. Inspired by her performance, Maria asks Sulu to do a call-in night show, where people would call her to talk about their problems and she agrees. Ashok is irritated at first that Sulu took up the job without discussing it with him but relents out of love for his wife. On her first day, Sulu faces a rude caller who tries to change their chat into an obscene one, but is able to tactfully handle it. Next, she gets a request to sing, and excitedly does a song she only sings for her husband. Ashok is annoyed by her behaviour, his displeasure further exacerbated by his frustrations with his new boss who treats him terribly. Sulu's family disagrees with the tone of her show and wants her to quit, but Ashok stands by her. The show becomes successful and Sulu enjoys her work, growing more worldly and confident. However, Ashok continues taking out his frustrations at home about both his job and her. Sulu's life becomes high at work and low at home. One day, the principal of Pranav's school reveals that he has been charging other kids for showing adult videos on a phone he stole from Ashok, as well as faking his father's signatures. Pranav is suspended from school, which becomes a serious issue at home. Sulu's sisters blame her, claiming that she has neglected her son because of her job and her low level of education is influencing him. They say she has to quit but Sulu takes a tough stand, rejecting their conditions. She later gets a call that Pranav is missing. Sulu and Ashok find a note by him, revealing he is ashamed of what he has done and is sad that his mother had to leave her job because of him. Pranav requests his father to support his mother and her work. Ashok and Sulu reconcile as they search for their son. The police find Pranav the next day and bring him home. Sulu resigns from the show, feeling that she is not able to handle the conflict it is causing at home. As she leaves, Sulu finds the receptionist arguing with the tiffin service guy. She has an idea and requests Maria to give her the tiffin service contract. In the end, Ashok is now managing the tiffin business and Sulu resumes her radio jockey job, managing both the household and her professional life in her own style.",17 November 2017 ( 2017-11-17 ) [ 2 ],tt6791730,Tumhari_Sulu_-_Poster.jpg,sulochana dubey nicknam sulu middleclass housewif live virar famili enjoy life fullest husband ashok 11yearold son pranav sulu dream work woman sinc couldnt complet high school unabl appli whitecollar job elder twin sister mock see sulu beneath due educ ashok work manag tailor firm frustrat job sinc colleagu cantanker age sixti make matter wors firm taken owner grandson extrem rude abus employe sulu ashok son pranav go rough time school incessantli tea group delinqu classmat sell rrate magazin video one day sulu win contest host favourit radio station goe collect prize station see poster advertis audit rj feel job meant sulu meet bos maria find extrovert natur intrigu give opportun audit sulu laugh throughout audit end say hello sensual tone impress maria inspir perform maria ask sulu callin night show peopl would call talk problem agre ashok irrit first sulu took job without discus relent love wife first day sulu face rude caller tri chang chat obscen one abl tact handl next get request sing excitedli song sing husband ashok annoy behaviour displeasur exacerb frustrat new bos treat terribl sulu famili disagre tone show want quit ashok stand show becom success sulu enjoy work grow worldli confid howev ashok continu take frustrat home job sulu life becom high work low home one day princip pranav school reveal charg kid show adult video phone stole ashok well fake father signatur pranav suspend school becom seriou issu home sulu sister blame claim neglect son job low level educ influenc say quit sulu take tough stand reject condit later get call pranav miss sulu ashok find note reveal asham done sad mother leav job pranav request father support mother work ashok sulu reconcil search son polic find pranav next day bring home sulu resign show feel abl handl conflict caus home leav sulu find receptionist argu tiffin servic guy idea request maria give tiffin servic contract end ashok manag tiffin busi sulu resum radio jockey job manag household profession life style,,suresh triveni,"['vidya balan', 'neha dhupia', 'manav kaul', 'abhishek sharma']"
